1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
1353,Hof-Befreyte,Q506918,,Q507567,Friedrich Benjamin Hofmann,Friedrich Benjamin Hofmann,unverändert,Handels-Commissar zu Altenburg,,,,,,,,,,,,,,,,
1354,Hof-Befreyte,Q506918,,Q507617,Johann Gabriel Erdmann,Johann Gabriel Erdmann,unverändert,Handels-Commissar ,,,,,,,,,,,,,,,,
1355,Hof-Befreyte,Q506918,,Q507627,Johann Kraus,Johann Kraus,unverändert,Handels-Commissar ,,,,,,,,,,,,,,,,
1356,Hof-Befreyte,Q506918,,Q507627,Traugott Fritsch,Traugott Fritsch,unverändert,Handels-Commissar zu Ronneburg,,,,,,,,,,,,,,,,
1357,Hof-Befreyte,Q506918,,Q507627,Johann Gottlieb Bauch,Johann Gottlieb Bauch,unverändert,Handels-Commissar zu Ronneburg,,,,,,,,,,,,,,,,
1358,Hof-Befreyte,Q506918,,,Johann Gottlieb Merckel,Johann Gottlieb Merckel,unverändert,Handels-Commissar zu Ronneburg,,,,,,,,,,,,,,,,
1359,Hof-Befreyte,Q506918,,,Samuel Friedrich Zahn,Samuel Friedrich Zahn,unverändert,Handels-Commissar zu Roda,,,,,,,,,,,,,,,,
1360,Hof-Befreyte,Q506918,,,Johann Adam Weiße,Johann Adam Weiße,unverändert,Handels-Commissar zu Cahla,,,,,,,,,,,,,,,,
1361,Hof-Befreyte,Q506918,,,Johann Heinrich Reichenbach,Johann Heinrich Reichenbach,unverändert,Commercien-Commissar zu Altenburg,,,,,,,,,,,,,,,,
1362,Hof-Befreyte,Q506918,,,Andreas Ausrrup,Andreas Ausrrup,unverändert,HofCommissar ,,,,,,,,,,,,,,,,
1363,Hof-Befreyte,Q506918,,Q513417,Ernst Müller,Ernst Müller,unverändert,Hof-Apotheker,,,,,,,,,,,,,,,,
1364,Hof-Befreyte,Q506918,,,Johann Bernhard Bodinus,Johann Bernhard Bodinus,unverändert,Hof-Apotheker zu Ichtershausen,,,,,,,,,,,,,,,,
1365,Hof-Befreyte,Q506918,,,Johann Wilhelm Reßler,Johann Wilhelm Reßler,unverändert,,,,,,,,,,,,,,,,,
1366,Hof-Befreyte,Q506918,,,Johann Samuel Werner,Johann Samuel Werner,unverändert,Hof-Lieferant zu Altenburg,,,,,,,,,,,,,,,,
1367,Hof-Befreyte,Q506918,,Q507784,Johann Michael Hermann,Johann Michael Hermann,unverändert,Hof-Factor zu Eisenberg,,,,,,,,,,,,,,,,
1368,Hof-Befreyte,Q506918,,Q507182,Johann Wilhelm Dürfeld,Johann Wilhelm Dürfeld,unverändert,Hof-Eisen-Factor zu Gotha,,,,,,,,,,,,,,,,
1369,Hof-Befreyte,Q506918,,Q507639,Johann Ludwig Schildbach,Johann Ludwig Schildbach,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1370,Hof-Befreyte,Q506918,,Q507765,Heinrich Gottlieb Bauer,Heinrich Gottlieb Bauer,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1371,Hof-Befreyte,Q506918,,Q259344,Johann Friedrich Wenig,Johann Friedrich Wenig,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1372,Hof-Befreyte,Q506918,,Q507923,Johann Gottlob Wacker,Johann Gottlob Wacker,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1373,Hof-Befreyte,Q506918,,Q507820,Christian Andreas Hellmann,Christian Andreas Hellmann,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1374,Hof-Befreyte,Q506918,,Q77868,Friedrich Christioh Maudrich,Friedrich Christioh Maudrich,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1375,Hof-Befreyte,Q506918,,Q507570,Johann Kindel,Johann Kindel,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1376,Hof-Befreyte,Q506918,,Q507367,Heinrich Sander,Heinrich Sander,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1377,Hof-Befreyte,Q506918,,,Johann Michael Zeutschel,Johann Michael Zeutschel,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1378,Hof-Befreyte,Q506918,,,August Klug,August Klug,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1379,Hof-Befreyte,Q506918,,,Johann Gottlob Ammerbach,Johann Gottlob Ammerbach,unverändert,Hof-Factor ,,,,,,,,,,,,,,,,
1380,Hof-Befreyte,Q506918,,,Johann Friedrich Rockstroh,Johann Friedrich Rockstroh,neu,Hof-Factor ,,,,,,,,,,,Johann,Friedrich,,,,Rockstroh
1381,Hof-Befreyte,Q506918,,Q507770,Johann Christoph Grabner,Johann Christoph Grabner,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
1382,Hof-Befreyte,Q506918,,Q507658,Johann Gottfried Brautgam,Johann Gottfried Brautgam,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
1383,Hof-Befreyte,Q506918,,Q507721,Johann Georg Blumenau,Johann Georg Blumenau,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
1384,Hof-Befreyte,Q506918,,Q507786,Josef Christoph Hermann,Josef Christoph Hermann,unverändert,Cammer-Factor ,,,,,,,,,,,,,,,,
1385,Hof-Befreyte,Q506918,,Q259344,Johann Friedrich Wenig,Johann Friedrich Wenig,unverändert,Eisen-Factor zu Tonna,,,,,,,,,,,,,,,,
1386,Hof-Befreyte,Q506918,,Q513173,Johann Georg Hildebrand,Johann Georg Hildebrand,unverändert,Factor,,,,,,,,,,,,,,,,
1387,Hof-Befreyte,Q506918,,Q507574,Johann Christian Bomberg,Johann Christian Bomberg,unverändert,Factor,,,,,,,,,,,,,,,,
1388,Hof-Befreyte,Q506918,,Q507922,Ernst Philipp Rammelberg,Ernst Philipp Rammelberg,unverändert,Factor,,,,,,,,,,,,,,,,
1389,Hof-Befreyte,Q506918,,Q507497,Tobias Querner,Tobias Querner,unverändert,Factor,,,,,,,,,,,,,,,,
1390,Hof-Befreyte,Q506918,,,Johann Jäningen,Johann Jäningen,unverändert,Factor zu Altenburg,,,,,,,,,,,,,,,,
1391,Hof-Befreyte,Q506918,,,Christian Gottlob Gentsch,Christian Gottlob Gentsch,unverändert,Factor,,,,,,,,,,,,,,,,
1392,Herzogliche Marstall,Q506928,,Q80689,Georg von Hardenberg,Georg von Hardenberg,unverändert,Ober Stallmeister,,,,,,,,,,,,,,,,
1393,Herzogliche Marstall,Q506928,,Q507983,Christian Georg von Helmoldt,Christian Georg von Helmoldt,unverändert,Stallmeister,Cammerherr,,,,,,,,,,,,,,,
1394,Herzogliche Marstall,Q506928,,Q507365,Johann Gottlob Becker,Johann Gottlob Becker,unverändert,Ober-Bereuter,,,,,,,,,,,,,,,,
1395,Herzogliche Marstall,Q506928,,Q507583,Otto Anton Otto,Otto Anton Otto,unverändert,Bereuter,,,,,,,,,,,,,,,,
1396,Herzogliche Marstall,Q506928,,,Johann Friedrich Erdmann Schneider,Johann Friedrich Erdmann Schneider,unverändert,Bereuter,,,,,,,,,,,,,,,,
1397,Herzogliche Marstall,Q506928,,Q507081,Georg Benjamin Zachariä,Georg Benjamin Zachariä,unverändert,Cammer-Agent,,,,,,,,,,,,,,,,
1398,Herzogliche Marstall,Q506928,,Q98232,Johann Georg Wolfram,Johann Georg Wolfram,andere Qualli,Futter -Commissarius,,,,,,,,,,,,,,,,
1399,Herzogliche Marstall,Q506928,,Q507471,Johann Gottlieb Heidenreich,Johann Gottlieb Heidenreich,unverändert,Hofstall-Posamentirer,,,,,,,,,,,,,,,,
1400,Herzogliche Marstall,Q506928,,,Christian Heinrich Ritter,Christian Heinrich Ritter,unverändert,Hofmahler,Stallmahler,,,,,,,,,,,,,,,
1401,Herzogliche Marstall,Q506928,,Q507437,August Caspar Eißfeld,August Caspar Eißfeld,unverändert,Hofsattler,,,,,,,,,,,,,,,,
1402,Herzogliche Marstall,Q506928,,Q507682,Heinrich Christoph Eccarius,Heinrich Christoph Eccarius,unverändert,Hofwagner,,,,,,,,,,,,,,,,
1403,Herzogliche Marstall,Q506928,,Q507104,Johann Georg Trinks,Johann Georg Trinks,unverändert,Stallschneider,,,,,,,,,,,,,,,,
1404,Herzogliche Marstall,Q506928,,Q507510,Johann Christian Schnabel,Johann Christian Schnabel,unverändert,Stallkürschner,,,,,,,,,,,,,,,,
1405,Herzogliche Marstall,Q506928,,,Johann Jacob Wiegleb,Johann Jacob Wiegleb,unverändert,Hofschreiner,Stallschreiner,,,,,,,,,,,,,,,
1406,Herzogliche Marstall,Q506928,,Q507904,Johann Heinrich Riede,Johann Heinrich Riede,unverändert,Leibknecht,,,,,,,,,,,,,,,,
1407,Herzogliche Marstall,Q506928,,Q513382,Christoph Henneberg,Christoph Henneberg,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1408,Herzogliche Marstall,Q506928,,,Georg Nicolaus Dingethal,Georg Nicolaus Dingethal,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1409,Herzogliche Marstall,Q506928,,,Matthäus  Alkenbrecher,Matthäus  Alkenbrecher,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1410,Herzogliche Marstall,Q506928,,Q507960,Johann Conrad Fliedner,Johann Conrad Fliedner,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1411,Herzogliche Marstall,Q506928,,Q507467,Johann Heinrich Höhn,Johann Heinrich Höhn,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1412,Herzogliche Marstall,Q506928,,,Johann Carl Kraußer,Johann Carl Kraußer,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1413,Herzogliche Marstall,Q506928,,,Johann Caspar Henneberg,Johann Caspar Henneberg,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1414,Herzogliche Marstall,Q506928,,,Johann Andreas Darr,Johann Andreas Darr,unverändert,Reitknecht,,,,,,,,,,,,,,,,
1415,Herzogliche Marstall,Q506928,,Q507933,Ernst Rauschelbach,Ernst Rauschelbach,unverändert,Equipagenmeister,,,,,,,,,,,,,,,,
1416,Herzogliche Marstall,Q506928,,Q507611,Johann Jonas Schüchner,Johann Jonas Schüchner,unverändert,Leibkutscher,,,,,,,,,,,,,,,,
1417,Herzogliche Marstall,Q506928,,Q507733,Johann Andreas Bobritz jun,Johann Andreas Bobritz jun,unverändert,Leibkutscher,,,,,,,,,,,,,,,,
1418,Herzogliche Marstall,Q506928,,Q507511,Valentin Matthäi,Valentin Matthäi,unverändert,Wagenhaler,,,,,,,,,,,,,,,,
1419,Herzogliche Marstall,Q506928,,Q507388,Johann Michael Wenk,Johann Michael Wenk,unverändert,Wagenhaler,,,,,,,,,,,,,,,,
1420,Herzogliche Marstall,Q506928,,Q507802,Friedrich Wilhelm Bobritz sen,Friedrich Wilhelm Bobritz sen,unverändert,Kutscher,,,,,,,,,,,,,,,,
1421,Herzogliche Marstall,Q506928,,Q507579,Johann Jacob Böttger,Johann Jacob Böttger,unverändert,Kutscher,,,,,,,,,,,,,,,,
1422,Herzogliche Marstall,Q506928,,,Daniel Samuel Brüheim,Daniel Samuel Brüheim,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1423,Herzogliche Marstall,Q506928,,,Christoph Gotthelf Buckel,Christoph Gotthelf Buckel,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1424,Herzogliche Marstall,Q506928,,,Johann David Jung,Johann David Jung,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1425,Herzogliche Marstall,Q506928,,,Johann Georg Böttcher,Johann Georg Böttcher,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1426,Herzogliche Marstall,Q506928,,,Johann Lorenz,Johann Lorenz,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1427,Herzogliche Marstall,Q506928,,,Johann Wilhelm Weidner,Johann Wilhelm Weidner,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1428,Herzogliche Marstall,Q506928,,,Johann Heinrich Gottfried Fischer,Johann Heinrich Gottfried Fischer,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1429,Herzogliche Marstall,Q506928,,,Hanß Lorenz Langgut,Hanß Lorenz Langgut,unverändert,Vorreuter,,,,,,,,,,,,,,,,
1430,Herzogliche Marstall,Q506928,,Q507931,Johann Matthäus Rausch,Johann Matthäus Rausch,unverändert,Reitschmidt,,,,,,,,,,,,,,,,
1431,Herzogliche Marstall,Q506928,,Q262503,Johann Christoph Lange,Johann Christoph Lange,unverändert,Schmidt,,,,,,,,,,,,,,,,
1432,Herzogliche Marstall,Q506928,,,Johann Christoph Rausch,Johann Christoph Rausch,unverändert,Schmidt,,,,,,,,,,,,,,,,
1433,Herzogliche Marstall,Q506928,,Q513400,Johann Georg Fischer,Johann Georg Fischer,unverändert,Kaleschenknecht,,,,,,,,,,,,,,,,
1434,Herzogliche Marstall,Q506928,,,Andreas Seyfart,Andreas Seyfart,unverändert,Handlanger,,,,,,,,,,,,,,,,
1435,Herzogliche Marstall,Q506928,,,Johann Georg  Göpfer,Johann Georg  Göpfer,unverändert,Knecht bei den Baupferden,,,,,,,,,,,,,,,,
1436,Herzogliche Marstall,Q506928,,Q42240,Johann Christian Schönau,Johann Christian Schönau,unverändert,Maultier-Knecht,,,,,,,,,,,,,,,,
1437,Herzogliche Marstall,Q506928,,Q507853,Philipp Fiedler,Philipp Fiedler,unverändert,Maultier-Knecht,,,,,,,,,,,,,,,,
1438,Studerei-Bediente,Q506825,,Q507063,Andreas Hesse,Andreas Hesse,unverändert,Studenwärter,,,,,,,,,,,,,,,,
1439,Studerei-Bediente,Q506825,,Q507378,Simon Heß,Simon Heß,unverändert,Studenhirt,,,,,,,,,,,,,,,,
1440,Studerei-Bediente,Q506825,,Q507386,Johann Michael Darr,Johann Michael Darr,unverändert,Fohlenhirt,,,,,,,,,,,,,,,,
1441,Studerei-Bediente,Q506825,,Q507407,Johann Dietsch,Johann Dietsch,unverändert,Hengsthirt,,,,,,,,,,,,,,,,
1442,Herzogliche Jägerei,Q506794,,Q507777,Wolf Gottfried Jarislaw von Prittwitz,Wolf Gottfried Jarislaw von Prittwitz,unverändert,Cammerherr,Oberforstmeister zu Georgenthal,,,,,,,,,,,,,,,
1443,Herzogliche Jägerei,Q506794,,Q507968,Friedrich Leopold von Hahn,Friedrich Leopold von Hahn,unverändert,Cammerherr,Oberforstmeister zu Schwarzwald,,,,,,,,,,,,,,,
1444,Herzogliche Jägerei,Q506794,,Q507835,Johann Adolph Cristian von Utterrodt,Johann Adolph Cristian von Utterrodt,unverändert,Oberforstmeister zu Tabarz,,,,,,,,,,,,,,,,
1445,Herzogliche Jägerei,Q506794,,,Johann Friedrich Gottlob von  Leutsch,Johann Friedrich Gottlob von  Leutsch,unverändert,Cammer- Junker,Forstmeister der hiesigen Land -Forste,,,,,,,,,,,,,,,
1446,Herzogliche Jägerei,Q506794,,Q28064,Friedrich Ludwig Constantin von Wangenheim,Friedrich Ludwig Constantin von Wangenheim,unverändert,Forst-Junker,Jagdjunker,,,,,,,,,,,,,,,
1447,Herzogliche Jägerei,Q506794,,,Friedrich Heinrich Becker,Friedrich Heinrich Becker,unverändert,Oberforst-Commissar,,,,,,,,,,,,,,,,
1448,Forst-Commissarien,Q506849,,Q507565,Christian Wilhelm Hofmann,Christian Wilhelm Hofmann,unverändert,Forst-Comissar,,,,,,,,,,,,,,,,
1449,Forst-Commissarien,Q506849,,,Gottfried Ernst Baum,Gottfried Ernst Baum,unverändert,Forst-Comissar,,,,,,,,,,,,,,,,
1450,Forst-Commissarien,Q506849,,,Johann Anton Müller,Johann Anton Müller,unverändert,Forst-Comissar,,,,,,,,,,,,,,,,
1451,Forst-Commissarien,Q506849,,,,Carl Gottlieb Geutebrück,neu,Forstschreiber,,,,,,,,,,,Carl,Gottlieb,,,,Geutebrück
1452,Wildmeister,Q506804,,Q507027,Wolf Gottfried Clauder,Wolf Gottfried Clauder,unverändert,Wildmeister zu Friedrichroda,,,,,,,,,,,,,,,,
1453,Oberförster im Herzogtum Gotha,Q506839,,Q507337,Joseph Lindner,Joseph Lindner,unverändert,Oberförster zu Zella,,,,,,,,,,,,,,,,
1454,Oberförster im Herzogtum Gotha,Q506839,,Q507451,Friedrich Wilhelm Bube,Friedrich Wilhelm Bube,unverändert,Oberförster zu Bittstädt,,,,,,,,,,,,,,,,
1455,Oberförster im Herzogtum Gotha,Q506839,,Q513379,Johann Friedrich Waitz,Johann Friedrich Waitz,unverändert,Oberförster zu Stunzhaus,,,,,,,,,,,,,,,,
1456,Oberförster im Herzogtum Gotha,Q506839,,Q507793,Johann Andreas Großgebauer,Johann Andreas Großgebauer,unverändert,Oberförster zu Gräfenhan,,,,,,,,,,,,,,,,
1457,Oberförster im Herzogtum Gotha,Q506839,,Q513380,Johann Christoph Braun,Johann Christoph Braun,unverändert,Oberförster zu Arlsberg,,,,,,,,,,,,,,,,
1458,Oberförster im Herzogtum Gotha,Q506839,,,Johann Heinrich Preißling,Johann Heinrich Preißling,unverändert,Oberförster zu Tonna,,,,,,,,,,,,,,,,
1459,Oberförster im Herzogtum Gotha,Q506839,,Q513392,Johann Christian König,Johann Christian König,unverändert,Oberförster in der Ruhla,,,,,,,,,,,,,,,,
1460,Oberförster im Herzogtum Gotha,Q506839,,Q507782,Johann Adolph Greß,Johann Adolph Greß,unverändert,Oberförster zu Crannichfeld,,,,,,,,,,,,,,,,
1461,Oberförster im Herzogtum Gotha,Q506839,,Q507641,Johann Friedrich Orphal,Johann Friedrich Orphal,unverändert,Oberförster zu Tambach,,,,,,,,,,,,,,,,
1462,Oberförster im Herzogtum Gotha,Q506839,,Q507315,Johann Ernst Waitz,Johann Ernst Waitz,unverändert,Oberförster zu Crauwinkel,,,,,,,,,,,,,,,,
1463,Forstbediente im Herzogtum Gotha,Q506847,,Q14453,Johann Heinrich Schmidt,Johann Heinrich Schmidt,unverändert,zu Großtabarz,,,,,,,,,,,,,,,,
1464,Forstbediente im Herzogtum Gotha,Q506847,,Q507562,Friedrich Christian Trautmann,Friedrich Christian Trautmann,unverändert,zu Finsterberge,,,,,,,,,,,,,,,,
1465,Forstbediente im Herzogtum Gotha,Q506847,,Q507426,Johann Ernst Löber,Johann Ernst Löber,unverändert,zu Waltershausen,,,,,,,,,,,,,,,,
1466,Forstbediente im Herzogtum Gotha,Q506847,,Q507774,Johann Heinrich Gundermann,Johann Heinrich Gundermann,unverändert,zu Dörrberg,,,,,,,,,,,,,,,,
1467,Forstbediente im Herzogtum Gotha,Q506847,,Q193013,Johann Christian Waitz,Johann Christian Waitz,unverändert,zu Goldbach,,,,,,,,,,,,,,,,
1468,Forstbediente im Herzogtum Gotha,Q506847,,Q507431,Johann Ludwig Burkas,Johann Ludwig Burkas,andere Qualli,zu Volkenroda,,,,,,,,,,,,,,,,
1469,Forstbediente im Herzogtum Gotha,Q506847,,Q507761,Ernst Daniel Bauer,Ernst Daniel Bauer,unverändert,zu Georgenthal,,,,,,,,,,,,,,,,
1470,Forstbediente im Herzogtum Gotha,Q506847,,Q507872,Christian Daniel Schumann,Christian Daniel Schumann,unverändert,zu Reinstädt,,,,,,,,,,,,,,,,
1471,Forstbediente im Herzogtum Gotha,Q506847,,Q513297,Johann Wilhelm Schilbach,Johann Wilhelm Schilbach,unverändert,zu Winterstein,,,,,,,,,,,,,,,,
1472,Forstbediente im Herzogtum Gotha,Q506847,,,,Johann Gottlieb König,neu,zu Klein Schmalkalden,,,,,,,,,,,,,,,,
1473,Forstbediente im Herzogtum Gotha,Q506847,,,Elias Ferdinand Schierschmidt,Elias Ferdinand Schierschmidt,andere Qualli,Hofjäger,,,,,,,,,,,,,,,,
1474,Forstbediente im Herzogtum Gotha,Q506847,,Q507490,Nicolaus Heinrich Preißing,Nicolaus Heinrich Preißing,unverändert,zu Friedrichswerth,,,,,,,,,,,,,,,,
1475,Forstbediente im Herzogtum Gotha,Q506847,,,Christian Friedrich Schröder,Christian Friedrich Schröder,andere Qualli,Büchsenspanner,,,,,,,,,,,,,,,,
1476,Forstbediente im Herzogtum Gotha,Q506847,,,,Johann Christoph Kallenbach,neu,zu Trohstadt,,,,,,,,,,,Johann,Christoph,,,,Kallenbach
1477,Forstbediente im Herzogtum Gotha,Q506847,,,,August Imanuel Görlach,neu,zu Ichtershaußen,,,,,,,,,,,August,Imanuel,,,,Görlach
1478,Forstbediente im Herzogtum Gotha,Q506847,,,,Benedikt Fischer,neu,Grentz-Jäger zu Molsdorf,,,,,,,,,,,Benedikt,,,,,Benedikt Fischer
1479,Forstbediente im Herzogtum Gotha,Q506847,,,,Georg Wilhelm Hersing,neu,Forst-Substiut ,,,,,,,,,,,Georg,Wilhelm,,,,Hersing
1480,Forstbediente im Herzogtum Gotha,Q506847,,Q513299,Johann Jacob Schumann,Johann Jacob Schumann,unverändert,Forst-Substiut zu Reinstädt,,,,,,,,,,,,,,,,
1481,Forstbediente im Herzogtum Gotha,Q506847,,Q507430,Friedrich Ernst Waitz,Friedrich Ernst Waitz,unverändert,Forst-Substiut zu Crawinkel,,,,,,,,,,,,,,,,
1482,Forstbediente im Herzogtum Gotha,Q506847,,Q507132,Friedrich Wilhelm Heß,Friedrich Wilhelm Heß,unverändert,Forstläufer zu Menterode,,,,,,,,,,,,,,,,
1483,Forstbediente im Herzogtum Gotha,Q506847,,Q507488,Johann Heinrich Preißing,Johann Heinrich Preißing,unverändert,Forst-Substiut zu Tonna,,,,,,,,,,,,,,,,
1484,Altenburg Hochfl. Durchlaucht,Q506858,,,Juliane Francisca von Buchwald,Juliane Francisca von Buchwald,unverändert,,,,,,,,,,Ihre Exellenz,,,,,,,
1485,Altenburg Hochfl. Durchlaucht,Q506858,,,Wilhelm von Rotberg,Wilhelm von Rotberg,unverändert,Wirklicher Geheimer Rath,,,,,,,,,,,,,,,,
1486,Altenburg Hochfl. Durchlaucht,Q506858,,Q28045,Auguste von Schlotheim,Auguste von Schlotheim,unverändert,Hof-Dames,,,,,,,,,,,,,,,,
1487,Altenburg Hochfl. Durchlaucht,Q506858,,,Friederike von Hack,Friederike von Hack,unverändert,Hof-Dames,,,,,,,,,,,,,,,,
1488,Garderobe und dabei befindliche Bediente,,,,Magdalena Catharina Frötsch,Magdalena Catharina Frötsch,unverändert,pens. Cammerfrau,,,,,,,,,,,,,,,,
1489,Garderobe und dabei befindliche Bediente,,,,Maria Dorothea Leichner,Maria Dorothea Leichner,unverändert,pens. Cammerfrau,,,,,,,,,,,,,,,,
1490,Garderobe und dabei befindliche Bediente,,,,Sophia Henrietta Gundlach,Sophia Henrietta Gundlach,unverändert,Cammerfrau,,,,,,,,,,,,,,,,
1491,Garderobe und dabei befindliche Bediente,,,,Christine Elisabeth Gernand,Christine Elisabeth Gernand,unverändert,Cammerfrau,,,,,,,,,,,,,,,,
1492,Garderobe und dabei befindliche Bediente,,,,Friedrich Heinrich Wilke,Friedrich Heinrich Wilke,unverändert,Cammerdiener,,,Leibschneider,,,,,,,,,,,,,
1493,Garderobe und dabei befindliche Bediente,,,Q507831,Johann Ernst Justin,Johann Ernst Justin,unverändert,Cammerdiener,,,,,,,,,,,,,,,,
1494,Garderobe und dabei befindliche Bediente,,,Q263461,Heinrich Ernst Pommer,Heinrich Ernst Pommer,unverändert,Cammer-Laquais,,,,,,,,,,,,,,,,
1495,Garderobe und dabei befindliche Bediente,,,,Samuel Andreas Ritter,Samuel Andreas Ritter,unverändert,Cammer-Laquais,,,,,,,,,,,,,,,,
1496,Garderobe und dabei befindliche Bediente,,,,Johann Andreas Jödicke,Johann Andreas Jödicke,unverändert,Coiffeur,,,,,,,,,,,,,,,,
1497,Garderobe und dabei befindliche Bediente,,,,Maria Johanna Volckardt,Maria Johanna Volckardt,unverändert,Garderobe Mädgen,,,,,,,,,,,,,,,,
1498,Garderobe und dabei befindliche Bediente,,,,Caroline Christiane Johanna Pantzerbieter,Caroline Christiane Johanna Pantzerbieter,unverändert,Garderobe Mädgen,,,,,,,,,,,,,,,,
1499,Cammerleute bei der Frau Oberhofmeisterin Exellenz und der Adel Dames,,,,Margueritte l` Allemand,Margueritte l` Allemand,andere Qualli,Jungfer,,,,,,,,,,,,,,,,
1500,Cammerleute bei der Frau Oberhofmeisterin Exellenz und der Adel Dames,,,,Eleonora Sabina Gotthardt,Eleonora Sabina Gotthardt,unverändert,Jungfer,,,,,,,,,,,,,,,,
1501,Cammerleute bei der Frau Oberhofmeisterin Exellenz und der Adel Dames,,,,,Johanne Werishoff,neu,Jungfer,,,,,,,,,,,Johanne,,,,,Werishoff
1502,Pages,,,,Ernst Ludwig Adam Walrab von Wangenheim,Ernst Ludwig Adam Walrab von Wangenheim,andere Qualli,Page,,,,,,,,,,,,,,,,
1503,Pages,,,,,Carl Heinrich von Wolframsdorf,neu,Page,,,,,,,,,,,Carl,Heinrich,,,,von Wolframsdorf
1504,Pages,,,,,Haubold Ludwig von Einsiedel,neu,Page,,,,,,,,,,,Haubold,Ludwig,,,,von Einsiedel
1505,Laquais,,,Q507532,Jacob Heinrich Irrgang,Jacob Heinrich Irrgang,unverändert,Laufer,,,,,,,,,,,,,,,,
1506,Laquais,,,,Johann Simon Reichenbach,Johann Simon Reichenbach,unverändert,,,,,,,,,,,,,,,,,
1507,Laquais,,,,Eusebius August Seidenschwanz,Eusebius August Seidenschwanz,unverändert,,,,,,,,,,,,,,,,,
1508,Laquais,,,,Heinrich Ludwig Sardam,Heinrich Ludwig Sardam,unverändert,,,,,,,,,,,,,,,,,
1509,Laquais,,,Q507602,Johann Christoph Fink,Johann Christoph Fink,unverändert,Laufer,,,,,,,,,,,,,,,,
1510,bei dem Durchlauchten Erbprinzen ,,,Q80300,Johann Heinrich Gelbke,Johann Heinrich Gelbke,unverändert,Instruktor,,,,,,,,,,,,,,,,
1511,bei dem Durchlauchten Erbprinzen ,,,Q97997,Gottlieb Johann Pabst,Gottlieb Johann Pabst,unverändert,Laquais,,,,,,,,,,,,,,,,
1512,bei dem Durchlauchten Erbprinzen ,,,,Johann Michael Keit,Johann Michael Keit,unverändert,Cammer-Pursch,,,,,,,,,,,,,,,,
1513,bei dem Durchlauchten Erbprinzen  August,,,,Georg Christian Winterstein,Georg Christian Winterstein,unverändert,Invormator,,,,,,,,,,,,,,,,
1514,bei dem Durchlauchten Erbprinzen  August,,,,Gottlieb Johann Pabst,Gottlieb Johann Pabst,unverändert,Laquais,,,,,,,,,,,,,,,,
1515,bei dem Durchlauchten Erbprinzen  August,,,,Johann Christian Wilhelm Schröder,Johann Christian Wilhelm Schröder,unverändert,Cammer-Pursch,,,,,,,,,,,,,,,,
1516,bei dem Durchlauchten Erbprinzen Friedrich,,,,Elisabethe Marie Damm,Elisabethe Marie Damm,unverändert,Cammerfrau,,,,,,,,,,,,,,,,
1517,bei dem Durchlauchten Erbprinzen Friedrich,,,,Catharine Elisabetha Willing,Catharine Elisabetha Willing,unverändert,Garderobe Mädgen,,,,,,,,,,,,,,,,
1518,bei dem Durchlauchten Erbprinzen Friedrich,,,Q507463,Johann Heinrich Hofmann,Johann Heinrich Hofmann,unverändert,Laquais,,,,,,,,,,,,,,,,
1519,Adliges Fräulein Stift zu Gotha,,,,Wolf Christian Treusch von Buttlar,Wolf Christian Treusch von Buttlar,unverändert,Königlich Preußlicher Kriegs-Rath,K,,,,,,,,,,,,,,,
1520,,,,Q99133,Carl Bernhard Heinrich von Wangenheim,Carl Bernhard Heinrich von Wangenheim,unverändert,Cammerherr,Hauptmann,,,,,,,,,,,,,,,
